unique_index,source_text,privacy_mask
39,"Vandals strike as village prepares to honour war dead . Not known if memorial can be repaired by Remembrance Day . Businessman places £1,000 bounty on heads of culprits .","[{""start"": 97, ""end"": 112, ""label"": ""TIMEDATE"", ""value"": ""Remembrance Day""}, {""start"": 115, ""end"": 126, ""label"": ""JOB"", ""value"": ""Businessman""}, {""start"": 134, ""end"": 140, ""label"": ""AMOUNT"", ""value"": ""£1,000""}]"
40,"Asta countered the Spade Kingdom's commandor's poison attack with the demon destroyer sword, then cut the attacking citadel in half, defeating the captain in a single blow.","[{""start"": 0, ""end"": 4, ""label"": ""PERSON"", ""value"": ""Asta""}, {""start"": 19, ""end"": 32, ""label"": ""ORGANIZATION"", ""value"": ""Spade Kingdom""}, {""start"": 35, ""end"": 44, ""label"": ""JOB"", ""value"": ""commandor""}, {""start"": 70, ""end"": 91, ""label"": ""PRODUCT"", ""value"": ""demon destroyer sword""}, {""start"": 127, ""end"": 131, ""label"": ""AMOUNT"", ""value"": ""half""}, {""start"": 147, ""end"": 154, ""label"": ""JOB"", ""value"": ""captain""}, {""start"": 160, ""end"": 166, ""label"": ""AMOUNT"", ""value"": ""single""}]"
41,yeah bourbon Glazed Salmon and yours yeah i also like mcdonalds twice week and you thats sound good ohh thats great,"[{""start"": 64, ""end"": 74, ""label"": ""TIMEDATE"", ""value"": ""twice week""}]"
42,"I'm Bobby from Prohaska Inc , Quality . We need your device for our operations urgently . Can we expedite the order ?","[{""start"": 4, ""end"": 9, ""label"": ""PERSON"", ""value"": ""Bobby""}, {""start"": 15, ""end"": 27, ""label"": ""ORGANIZATION"", ""value"": ""Prohaska Inc""}]"
43,"upon receipt of both parental verification and consent , tpci will enable the parent to create an account with us for the child .","[{""start"": 57, ""end"": 61, ""label"": ""ORGANIZATION"", ""value"": ""tpci""}]"
44,La Liga side replace Willy Caballero after his switch to Manchester City . Ochoa played for relegated AC Ajaccio in Ligue 1 last season .,"[{""start"": 21, ""end"": 36, ""label"": ""PERSON"", ""value"": ""Willy Caballero""}, {""start"": 57, ""end"": 72, ""label"": ""ORGANIZATION"", ""value"": ""Manchester City""}, {""start"": 75, ""end"": 80, ""label"": ""PERSON"", ""value"": ""Ochoa""}, {""start"": 102, ""end"": 112, ""label"": ""ORGANIZATION"", ""value"": ""AC Ajaccio""}, {""start"": 124, ""end"": 135, ""label"": ""TIMEDATE"", ""value"": ""last season""}]"
45,"West Ham are hoping to sign AC Milan youngster M'Baye Niang on loan . 19-year-old has attracted interest from Everton, Tottenham and Arsenal .","[{""start"": 28, ""end"": 36, ""label"": ""ORGANIZATION"", ""value"": ""AC Milan""}, {""start"": 47, ""end"": 59, ""label"": ""PERSON"", ""value"": ""M'Baye Niang""}, {""start"": 110, ""end"": 117, ""label"": ""ORGANIZATION"", ""value"": ""Everton""}, {""start"": 119, ""end"": 128, ""label"": ""ORGANIZATION"", ""value"": ""Tottenham""}, {""start"": 133, ""end"": 140, ""label"": ""ORGANIZATION"", ""value"": ""Arsenal""}]"
46,Black rhinos at Kent zoos may be targeted by poachers for their horns . Aspinall foundation looking to imply 24-hour security to protect them .,"[{""start"": 16, ""end"": 20, ""label"": ""LOCATION"", ""value"": ""Kent""}, {""start"": 72, ""end"": 91, ""label"": ""ORGANIZATION"", ""value"": ""Aspinall foundation""}, {""start"": 109, ""end"": 116, ""label"": ""TIMEDATE"", ""value"": ""24-hour""}]"
47,"Regarding the scholarship program of Schamberger - O'Connell , may I verify the application requirements? Is the educational organization situated in Valais ?","[{""start"": 37, ""end"": 60, ""label"": ""ORGANIZATION"", ""value"": ""Schamberger - O'Connell""}, {""start"": 150, ""end"": 156, ""label"": ""LOCATION"", ""value"": ""Valais""}]"
48,"Dear Dan Riley Sanford , your Senior Quality Associate in Paradigm has been invaluable in improving the school 's nutrition program. We appreciate your effort.","[{""start"": 5, ""end"": 22, ""label"": ""PERSON"", ""value"": ""Dan Riley Sanford""}, {""start"": 30, ""end"": 54, ""label"": ""JOB"", ""value"": ""Senior Quality Associate""}, {""start"": 58, ""end"": 66, ""label"": ""ORGANIZATION"", ""value"": ""Paradigm""}]"
49,"A cat allergy is no laughing matter. Learn more from WebMD about the causes, symptoms, and treatments of allergies to cats Yea is an affirmative vote.",[]
50,The products are sold by Wal-Mart and Kroger . Packages may contain glass fragments . Consumers can return them to place of purchase for a full refund .,"[{""start"": 25, ""end"": 33, ""label"": ""ORGANIZATION"", ""value"": ""Wal-Mart""}, {""start"": 38, ""end"": 44, ""label"": ""ORGANIZATION"", ""value"": ""Kroger""}]"
51,A visit to Flatley Dam in Union County confirmed the alternate lifestyle Kohler maintained outside her role as a International Solutions Analyst at Harber Inc .,"[{""start"": 11, ""end"": 22, ""label"": ""LOCATION"", ""value"": ""Flatley Dam""}, {""start"": 26, ""end"": 38, ""label"": ""LOCATION"", ""value"": ""Union County""}, {""start"": 73, ""end"": 79, ""label"": ""PERSON"", ""value"": ""Kohler""}, {""start"": 113, ""end"": 144, ""label"": ""JOB"", ""value"": ""International Solutions Analyst""}, {""start"": 148, ""end"": 158, ""label"": ""ORGANIZATION"", ""value"": ""Harber Inc""}]"
52,"10.2 any health information and links on the products , whether provided by headspace or by contract from outside providers , is provided simply for your convenience .","[{""start"": 76, ""end"": 85, ""label"": ""ORGANIZATION"", ""value"": ""headspace""}]"
53,"North Korea says sanctions applied against it will be ""declaration of war"" Pyongyang ready to ""mercilessly punish anyone"" who applies pressure . U.N. has condemned North Korean rocket launch .","[{""start"": 0, ""end"": 11, ""label"": ""LOCATION"", ""value"": ""North Korea""}, {""start"": 75, ""end"": 84, ""label"": ""LOCATION"", ""value"": ""Pyongyang""}, {""start"": 145, ""end"": 149, ""label"": ""ORGANIZATION"", ""value"": ""U.N.""}]"
54,"Top job at International Rescue Committee charity includes number of perks . Complimentary private health care and gold-plated, tax-free pension . Likely to be paid five times salary of Labour MP for 37-and-a-half hour week .","[{""start"": 165, ""end"": 175, ""label"": ""AMOUNT"", ""value"": ""five times""}, {""start"": 193, ""end"": 195, ""label"": ""JOB"", ""value"": ""MP""}, {""start"": 214, ""end"": 223, ""label"": ""TIMEDATE"", ""value"": ""hour week""}]"
55,"The NHL teams in this list are as follows: Buffalo Sabres, Detroit Red Wings, Florida Panthers, Montreal Canadiens, Ottawa Senators, Tampa Bay Lightning, Toronto Maple Leafs, Arizona Coyotes, Chicago Blackhawks, Colorado Avalanche, Dallas Stars, and the Minnesota Wild.","[{""start"": 4, ""end"": 7, ""label"": ""ORGANIZATION"", ""value"": ""NHL""}, {""start"": 43, ""end"": 57, ""label"": ""ORGANIZATION"", ""value"": ""Buffalo Sabres""}, {""start"": 59, ""end"": 76, ""label"": ""ORGANIZATION"", ""value"": ""Detroit Red Wings""}, {""start"": 78, ""end"": 94, ""label"": ""ORGANIZATION"", ""value"": ""Florida Panthers""}, {""start"": 96, ""end"": 114, ""label"": ""ORGANIZATION"", ""value"": ""Montreal Canadiens""}, {""start"": 116, ""end"": 131, ""label"": ""ORGANIZATION"", ""value"": ""Ottawa Senators""}, {""start"": 133, ""end"": 152, ""label"": ""ORGANIZATION"", ""value"": ""Tampa Bay Lightning""}, {""start"": 154, ""end"": 173, ""label"": ""ORGANIZATION"", ""value"": ""Toronto Maple Leafs""}, {""start"": 175, ""end"": 190, ""label"": ""ORGANIZATION"", ""value"": ""Arizona Coyotes""}, {""start"": 192, ""end"": 210, ""label"": ""ORGANIZATION"", ""value"": ""Chicago Blackhawks""}, {""start"": 212, ""end"": 230, ""label"": ""ORGANIZATION"", ""value"": ""Colorado Avalanche""}, {""start"": 232, ""end"": 244, ""label"": ""ORGANIZATION"", ""value"": ""Dallas Stars""}, {""start"": 254, ""end"": 268, ""label"": ""ORGANIZATION"", ""value"": ""Minnesota Wild""}]"
56,The cinematography department collaborates with lighting technicians during production hours . Our West Wing Studio features modern cameras purchased from TechVision Industries for 2.5million EUR . Students receive hands-on training in Northern California 's premier film district .,"[{""start"": 48, ""end"": 68, ""label"": ""JOB"", ""value"": ""lighting technicians""}, {""start"": 76, ""end"": 92, ""label"": ""TIMEDATE"", ""value"": ""production hours""}, {""start"": 99, ""end"": 115, ""label"": ""LOCATION"", ""value"": ""West Wing Studio""}, {""start"": 155, ""end"": 176, ""label"": ""ORGANIZATION"", ""value"": ""TechVision Industries""}, {""start"": 181, ""end"": 195, ""label"": ""AMOUNT"", ""value"": ""2.5million EUR""}, {""start"": 236, ""end"": 255, ""label"": ""LOCATION"", ""value"": ""Northern California""}]"
57,"Atlantic Restructuring Group , headquartered in Miami , reported yesterday that their distressed debt portfolio exceeded 5billion under management. Chief Investment Officer David James Thompson emphasized the importance of strategic positioning in Southeast markets during market downturns .","[{""start"": 0, ""end"": 28, ""label"": ""ORGANIZATION"", ""value"": ""Atlantic Restructuring Group""}, {""start"": 48, ""end"": 53, ""label"": ""LOCATION"", ""value"": ""Miami""}, {""start"": 65, ""end"": 74, ""label"": ""TIMEDATE"", ""value"": ""yesterday""}, {""start"": 121, ""end"": 129, ""label"": ""AMOUNT"", ""value"": ""5billion""}, {""start"": 148, ""end"": 172, ""label"": ""JOB"", ""value"": ""Chief Investment Officer""}, {""start"": 173, ""end"": 193, ""label"": ""PERSON"", ""value"": ""David James Thompson""}, {""start"": 248, ""end"": 257, ""label"": ""LOCATION"", ""value"": ""Southeast""}, {""start"": 273, ""end"": 289, ""label"": ""TIMEDATE"", ""value"": ""market downturns""}]"
58,"The New York Times: ""Seizing on a groundswell of support for rewriting the nation's immigration laws ..."" The Washington Post: ""Obama added to momentum on Capitol Hill in favor of an overhaul of the nation's immigration laws ..."" We saw the same supportive approach when The Pentagon lifted a ban on women serving in front-line combat positions, which, despite some conservative opposition, was greeted with favorable features that largely depicted the move as long overdue. Watch: Should N.Y. Times Have Censored Company Name Over the S-Word? As with many perpetual Beltway disputes, the contours of a common-sense compromise on immigration have been clear for some time. The right wants tougher border enforcement and employer verification procedures. The left wants undocumented immigrants taken out of the ""shadows,"" as Obama put it, and given a chance to become openly productive members of society. The key are the tradeoffs. How long would a path to citizenship take? Are fines and back taxes required? How do we ensure that those who broke the law don't get an unfair advantage over legal applicants? I don't argue with the standard political analysis that the moment may be ripe for immigration reform. Watch: Media Seize on Emotional Moment of Gabby Giffords' Testimony . Mitt Romney, who talked about wanting immigrants to ""self-deport,"" got clobbered among Hispanic voters. The GOP has lost the popular vote in five of the past six presidential elections.","[{""start"": 106, ""end"": 125, ""label"": ""WORKOFART"", ""value"": ""The Washington Post""}, {""start"": 128, ""end"": 133, ""label"": ""PERSON"", ""value"": ""Obama""}, {""start"": 155, ""end"": 167, ""label"": ""LOCATION"", ""value"": ""Capitol Hill""}, {""start"": 275, ""end"": 283, ""label"": ""ORGANIZATION"", ""value"": ""Pentagon""}, {""start"": 317, ""end"": 344, ""label"": ""JOB"", ""value"": ""front-line combat positions""}, {""start"": 489, ""end"": 499, ""label"": ""WORKOFART"", ""value"": ""N.Y. Times""}, {""start"": 567, ""end"": 574, ""label"": ""LOCATION"", ""value"": ""Beltway""}, {""start"": 662, ""end"": 671, ""label"": ""TIMEDATE"", ""value"": ""some time""}, {""start"": 720, ""end"": 728, ""label"": ""JOB"", ""value"": ""employer""}, {""start"": 824, ""end"": 829, ""label"": ""PERSON"", ""value"": ""Obama""}, {""start"": 1254, ""end"": 1268, ""label"": ""PERSON"", ""value"": ""Gabby Giffords""}, {""start"": 1282, ""end"": 1293, ""label"": ""PERSON"", ""value"": ""Mitt Romney""}, {""start"": 1423, ""end"": 1427, ""label"": ""AMOUNT"", ""value"": ""five""}, {""start"": 1435, ""end"": 1466, ""label"": ""TIMEDATE"", ""value"": ""past six presidential elections""}]"
59,you need only 15 minutes to prepare for the night of love ! scarify prefix these pills are just like regular cialis but they are specially formulated to be soft and dissolvable under the tongue . the pill is absorbed at the mouth and enters the bloodstream directly instead of going through the stomach . this results in a faster more powerful effect which still lasts up to 36 hours . cialis soft tabs also have less sidebacks ( you can drive or mix alcohol drinks with cialis ) . exotica briny snarl drew attain virulent bun earthmoving stringent episcopal governor somebody ' ll alex curse rodeo several cry harpoon electrician rotc cairo embrittle billion own proper obey muscle pretext pyrimidine certiorari nighthawk loathe dominican ferrule elegant epidermic loathe jovial peltry synchrony grumble rangeland teeing cession prelude bolshevik turban humus saxophone cliffhang chaise spoke delectate accrue conway melbourne notre glamorous ferocity cutset redhead retch slither contraband aspen rhenium rationale backwater apollonian calisthenic col larvae dingy picofarad fingerprint augmentation bead physic hightail collegiate argumentative champlain authoritative combatant sentential benediction silversmith,"[{""start"": 14, ""end"": 24, ""label"": ""TIMEDATE"", ""value"": ""15 minutes""}, {""start"": 109, ""end"": 115, ""label"": ""PRODUCT"", ""value"": ""cialis""}, {""start"": 369, ""end"": 383, ""label"": ""TIMEDATE"", ""value"": ""up to 36 hours""}, {""start"": 386, ""end"": 402, ""label"": ""PRODUCT"", ""value"": ""cialis soft tabs""}, {""start"": 471, ""end"": 477, ""label"": ""PRODUCT"", ""value"": ""cialis""}, {""start"": 559, ""end"": 567, ""label"": ""JOB"", ""value"": ""governor""}, {""start"": 582, ""end"": 586, ""label"": ""PERSON"", ""value"": ""alex""}, {""start"": 619, ""end"": 630, ""label"": ""JOB"", ""value"": ""electrician""}, {""start"": 631, ""end"": 635, ""label"": ""ORGANIZATION"", ""value"": ""rotc""}, {""start"": 636, ""end"": 641, ""label"": ""LOCATION"", ""value"": ""cairo""}, {""start"": 918, ""end"": 927, ""label"": ""LOCATION"", ""value"": ""melbourne""}, {""start"": 1205, ""end"": 1216, ""label"": ""JOB"", ""value"": ""silversmith""}]"
60,"Reading electricity meters isn'Äö√¥t typically a dangerous profession -- unless you happen to be employed by AES Eletropaulo. Robson Dourado said residents of Sao Paulo'Äö√¥s Morro do Indio slum watch him warily as he makes his rounds, worried he'Äö√¥ll detect rogue wires siphoning away power illegally. Some co- workers have lost teeth in encounters with angry customers. To avoid confrontations with the street toughs who walk around with guns tucked into their trousers, Dourado, 28, practices a studied indifference, Bloomberg Businessweek reports in its March 12 issue. ăI just keep on doing what I'Äö√¥m doing until they come speak to me,"" he said. ăIf there'Äö√¥s trouble, I leave."" Electricity theft is rampant across much of Latin America , so much so that statisticians have devised a formula that uses the purloined wattage to measure the size of a country'Äö√¥s informal economy. In some parts of Brazil, power losses reach as high as 20 percent. To combat the problem and avoid violent encounters, utilities are turning to smart meters. The devices, which cost about $150 to $400 each, including hardware, communications software and installation, let power companies monitor customers'Äö√¥ usage remotely and in real time. The meters can detect unusually heavy demand, which may signal an illegal hookup. They can also be used to shut off service to households and businesses that don'Äö√¥t pay their bills. The devices remove the human factor from the equation, so customers can no longer collude with dishonest meter readers to cheat the power company.","[{""start"": 126, ""end"": 140, ""label"": ""PERSON"", ""value"": ""Robson Dourado""}, {""start"": 159, ""end"": 168, ""label"": ""LOCATION"", ""value"": ""Sao Paulo""}, {""start"": 175, ""end"": 189, ""label"": ""LOCATION"", ""value"": ""Morro do Indio""}, {""start"": 475, ""end"": 482, ""label"": ""PERSON"", ""value"": ""Dourado""}, {""start"": 522, ""end"": 544, ""label"": ""WORKOFART"", ""value"": ""Bloomberg Businessweek""}, {""start"": 560, ""end"": 568, ""label"": ""TIMEDATE"", ""value"": ""March 12""}, {""start"": 735, ""end"": 748, ""label"": ""LOCATION"", ""value"": ""Latin America""}, {""start"": 767, ""end"": 780, ""label"": ""JOB"", ""value"": ""statisticians""}, {""start"": 910, ""end"": 916, ""label"": ""LOCATION"", ""value"": ""Brazil""}, {""start"": 948, ""end"": 958, ""label"": ""AMOUNT"", ""value"": ""20 percent""}, {""start"": 1075, ""end"": 1085, ""label"": ""AMOUNT"", ""value"": ""about $150""}, {""start"": 1089, ""end"": 1093, ""label"": ""AMOUNT"", ""value"": ""$400""}, {""start"": 1227, ""end"": 1236, ""label"": ""TIMEDATE"", ""value"": ""real time""}, {""start"": 1528, ""end"": 1541, ""label"": ""JOB"", ""value"": ""meter readers""}]"
61,"Petitioner argues that Lp) the record shows that the parties agreed to submit the notion to dismiss on the (record,] which included the Silegation in the declaration and the nenorendum in support Of Defendants Motion to Dismiss #2 that Keswemauhili vas' ited by Honolulu police officers at 10:00 p.m. on Gctober ZL2002 For scmoine without a permit at Mokuiets peach natk {sie},"" ""end [Responcent""s] Menorandus in Opposition to Defendant's Hotion to Dismiss, wherein the prosecutor alleges: "" Jeebine ech Eent"") [(2] ""iReepondest aid -not argue at any point below thet the record was inadequate as the parties hed agreed upon the state of the recorá before submitting the motion. <. "" [(3] Teuis (eloure may entertain « facse overbreadth' challenge to the extent that enforcenent of the carping ordinance infringes on the constitutions) rights of others who nay desire to engage in such activities but Fefrain from doing so rather than risk prosecution. M62 U.S. 352, 358 ney es (1983) (held, facial cverbreacth and vagueness challenges permitted FOR PUBLICATION IM WEST' S KAVAZ'T REPORTS AND PACIFIC REPORTER' when the disputed law reaches 2 'eubstantial anount of Constitutionally protected conduct'). (Emphases in original.) Although Petitioner joined in Keawemauhili's motion to dismiss, the facts giving rise to the violation relate to Keawemauhili. Petitioner does not indicate such facts were identical to the oné leading to her arrest.","[{""start"": 236, ""end"": 248, ""label"": ""PERSON"", ""value"": ""Keswemauhili""}, {""start"": 262, ""end"": 270, ""label"": ""LOCATION"", ""value"": ""Honolulu""}, {""start"": 271, ""end"": 286, ""label"": ""JOB"", ""value"": ""police officers""}, {""start"": 290, ""end"": 300, ""label"": ""TIMEDATE"", ""value"": ""10:00 p.m.""}, {""start"": 304, ""end"": 318, ""label"": ""TIMEDATE"", ""value"": ""Gctober ZL2002""}, {""start"": 351, ""end"": 370, ""label"": ""LOCATION"", ""value"": ""Mokuiets peach natk""}, {""start"": 470, ""end"": 480, ""label"": ""JOB"", ""value"": ""prosecutor""}, {""start"": 957, ""end"": 961, ""label"": ""WORKOFART"", ""value"": ""U.S.""}, {""start"": 962, ""end"": 965, ""label"": ""AMOUNT"", ""value"": ""352""}, {""start"": 967, ""end"": 970, ""label"": ""AMOUNT"", ""value"": ""358""}, {""start"": 979, ""end"": 983, ""label"": ""TIMEDATE"", ""value"": ""1983""}, {""start"": 1071, ""end"": 1088, ""label"": ""WORKOFART"", ""value"": ""S KAVAZ'T REPORTS""}, {""start"": 1093, ""end"": 1109, ""label"": ""WORKOFART"", ""value"": ""PACIFIC REPORTER""}, {""start"": 1258, ""end"": 1270, ""label"": ""PERSON"", ""value"": ""Keawemauhili""}, {""start"": 1341, ""end"": 1353, ""label"": ""PERSON"", ""value"": ""Keawemauhili""}]"
62,"1:12. pull up on the parking lot, a block away from the hair dressers. 1:27. hoist myself through the doors, finally here. vomit at the ready. 1:32 and so, the empty hairdressers greeted me, this would be an in and out job, nothing more, nothing less. quick and clean. the woman at the reception desk comes up to lead me to a chair after a few minutes of waiting and just as i open my mouth to say 'thanks'. a storm of regret, jack, bacardi, coke and dry biscuits topples out like niagara falls, sliding down her dress, the majority of it on the floor and her shoes and then i slump back into a stationary position only for her to do some sort of patrick stewart quadruple take. i'm freaking out, she's freaking out, the other hairdresser is in a limbo of anger and laughter and i just lift my hands up in defense and walk at a fairly brisk pace backwards while saying sorry all the while. still haven't got my hair cut. edit: i didn't add it for the overall flow and comedic effect of the story but my roommate drove me up there, i did not drink and drive.","[{""start"": 0, ""end"": 4, ""label"": ""AMOUNT"", ""value"": ""1:12""}, {""start"": 71, ""end"": 75, ""label"": ""TIMEDATE"", ""value"": ""1:27""}, {""start"": 143, ""end"": 147, ""label"": ""TIMEDATE"", ""value"": ""1:32""}, {""start"": 340, ""end"": 351, ""label"": ""TIMEDATE"", ""value"": ""few minutes""}, {""start"": 427, ""end"": 431, ""label"": ""PRODUCT"", ""value"": ""jack""}, {""start"": 433, ""end"": 440, ""label"": ""PRODUCT"", ""value"": ""bacardi""}, {""start"": 442, ""end"": 446, ""label"": ""PRODUCT"", ""value"": ""coke""}, {""start"": 481, ""end"": 494, ""label"": ""LOCATION"", ""value"": ""niagara falls""}, {""start"": 647, ""end"": 662, ""label"": ""PERSON"", ""value"": ""patrick stewart""}, {""start"": 663, ""end"": 672, ""label"": ""AMOUNT"", ""value"": ""quadruple""}, {""start"": 727, ""end"": 738, ""label"": ""JOB"", ""value"": ""hairdresser""}]"
63,"Made plans to head over to Lucky Strike after hearing about it (3) times in one week: my girlfriend went with her work, it was highlighted on \""Undercover Boss\"" and again on E's Kendra... it was time. We went on Friday, about 8pm and it was packed... but we didn't mind. We checked in and they said it would be about 2 hours until we got a lane... no problem, we grabbed a drink (me, a Coppola cab - the fiance, a Kiltlifter). His beer was fine, but the cab was SKUNKY. I let the bartender know and he swiftly opened a new bottle sans tude... I liked that.\nWe were waiting for (2) friends who arrived about 15 minutes later... about 10 minutes after that our buzzer alerted us the lane was open (so the (2) hour wait was really closer to 30 minutes. Not bad!\nThe atmosphere is super clubby, almost in a bizarre way. They have bouncers at the door and you literally get turned away if you don't meet the dress standards (no hoodies, baggy clothes or hats). Kinda weird, but in a way I get what they are trying to do.\nThe alley part is dark, with lounge style seating and super loud music. Very fun for bowling, but not ideal for convos. They have a little bar area with a DJ which is a bit quieter. \nWe had apps, but they have a full menu. The pretzel dippers and boneless chicken wings were very tasty. \nEveryone had a great time, we'll definitely go again!","[{""start"": 27, ""end"": 39, ""label"": ""ORGANIZATION"", ""value"": ""Lucky Strike""}, {""start"": 64, ""end"": 65, ""label"": ""AMOUNT"", ""value"": ""3""}, {""start"": 67, ""end"": 84, ""label"": ""TIMEDATE"", ""value"": ""times in one week""}, {""start"": 144, ""end"": 159, ""label"": ""WORKOFART"", ""value"": ""Undercover Boss""}, {""start"": 175, ""end"": 176, ""label"": ""ORGANIZATION"", ""value"": ""E""}, {""start"": 179, ""end"": 185, ""label"": ""WORKOFART"", ""value"": ""Kendra""}, {""start"": 213, ""end"": 219, ""label"": ""TIMEDATE"", ""value"": ""Friday""}, {""start"": 227, ""end"": 230, ""label"": ""TIMEDATE"", ""value"": ""8pm""}, {""start"": 318, ""end"": 325, ""label"": ""TIMEDATE"", ""value"": ""2 hours""}, {""start"": 387, ""end"": 394, ""label"": ""PRODUCT"", ""value"": ""Coppola""}, {""start"": 415, ""end"": 425, ""label"": ""PRODUCT"", ""value"": ""Kiltlifter""}, {""start"": 481, ""end"": 490, ""label"": ""JOB"", ""value"": ""bartender""}, {""start"": 580, ""end"": 581, ""label"": ""AMOUNT"", ""value"": ""2""}, {""start"": 609, ""end"": 625, ""label"": ""TIMEDATE"", ""value"": ""15 minutes later""}, {""start"": 635, ""end"": 651, ""label"": ""TIMEDATE"", ""value"": ""10 minutes after""}, {""start"": 706, ""end"": 707, ""label"": ""TIMEDATE"", ""value"": ""2""}, {""start"": 709, ""end"": 713, ""label"": ""TIMEDATE"", ""value"": ""hour""}, {""start"": 740, ""end"": 750, ""label"": ""TIMEDATE"", ""value"": ""30 minutes""}, {""start"": 829, ""end"": 837, ""label"": ""JOB"", ""value"": ""bouncers""}, {""start"": 1175, ""end"": 1177, ""label"": ""JOB"", ""value"": ""DJ""}]"
64,"Career Advancement: United Emergency Response Coalition Recruitment Drive Chief Michael Thompson announces 50 positions in Emergency Operations . Starting March 15 , applicants can submit credentials at Central Command Center , Providence Road , Millbrook , Arizona . Requirements include valid Class A certification and emergency response credentials. -Starting salary: 65000 USD / year .","[{""start"": 20, ""end"": 55, ""label"": ""ORGANIZATION"", ""value"": ""United Emergency Response Coalition""}, {""start"": 56, ""end"": 79, ""label"": ""JOB"", ""value"": ""Recruitment Drive Chief""}, {""start"": 80, ""end"": 96, ""label"": ""PERSON"", ""value"": ""Michael Thompson""}, {""start"": 107, ""end"": 109, ""label"": ""AMOUNT"", ""value"": ""50""}, {""start"": 123, ""end"": 143, ""label"": ""JOB"", ""value"": ""Emergency Operations""}, {""start"": 155, ""end"": 163, ""label"": ""TIMEDATE"", ""value"": ""March 15""}, {""start"": 203, ""end"": 225, ""label"": ""LOCATION"", ""value"": ""Central Command Center""}, {""start"": 246, ""end"": 255, ""label"": ""LOCATION"", ""value"": ""Millbrook""}, {""start"": 258, ""end"": 265, ""label"": ""LOCATION"", ""value"": ""Arizona""}, {""start"": 321, ""end"": 339, ""label"": ""JOB"", ""value"": ""emergency response""}, {""start"": 371, ""end"": 380, ""label"": ""AMOUNT"", ""value"": ""65000 USD""}, {""start"": 383, ""end"": 387, ""label"": ""TIMEDATE"", ""value"": ""year""}]"
65,"Gilbert definitely has a new spicy hot spot, Joyride Taco House complete with festive decor with a relaxed and friendly atomosphere! I joined friends and family on opening night 7 in all, Justin our waiter handled us like a pro. Not only was he a good waiter but everytime I blinked there was someone at our table with water, drink refills or clearing our table asking us if we needed anything else, they rock the team work attitude! From the homemade chips & fireroasted salsa of which we devoured 3-4 helpings to the tasty chicken tinga, shrimp & scallop tacos,chicken nachos,machaca burritos, empanadas and El Domingo dessert with carmelized pineapple, caramel sauce and vanilla ice cream we finished every tasty bite! \nAn extra thank you for replacing my picky princesses taco, which came with beans she wasn't willing to eat, once the beans were gone so was her taco! Happy kid, happpy Mom!\nThis is the place to go to add a little spice in your foodie life! I'm looking forward to going back to try the variety of drinks and dive into the charred habenero ""melt your face"" salsa! Oh yes, and more chips please!","[{""start"": 45, ""end"": 63, ""label"": ""ORGANIZATION"", ""value"": ""Joyride Taco House""}, {""start"": 164, ""end"": 177, ""label"": ""TIMEDATE"", ""value"": ""opening night""}, {""start"": 178, ""end"": 179, ""label"": ""AMOUNT"", ""value"": ""7""}, {""start"": 188, ""end"": 194, ""label"": ""PERSON"", ""value"": ""Justin""}, {""start"": 199, ""end"": 205, ""label"": ""JOB"", ""value"": ""waiter""}, {""start"": 252, ""end"": 258, ""label"": ""JOB"", ""value"": ""waiter""}, {""start"": 263, ""end"": 272, ""label"": ""TIMEDATE"", ""value"": ""everytime""}, {""start"": 499, ""end"": 502, ""label"": ""AMOUNT"", ""value"": ""3-4""}, {""start"": 610, ""end"": 620, ""label"": ""PRODUCT"", ""value"": ""El Domingo""}]"
66,"As a Business Intelligence Director at Global Insights Co , I've seen our market analysis division evolve significantly since 2021 . Operating from our Research Center in Seattle , we've processed data from 50000 customers across North America . Our analytics team , led by Dr. Amanda Martinez , achieved 87 percent prediction accuracy in Q4 alone .","[{""start"": 5, ""end"": 35, ""label"": ""JOB"", ""value"": ""Business Intelligence Director""}, {""start"": 39, ""end"": 57, ""label"": ""ORGANIZATION"", ""value"": ""Global Insights Co""}, {""start"": 74, ""end"": 98, ""label"": ""JOB"", ""value"": ""market analysis division""}, {""start"": 126, ""end"": 130, ""label"": ""TIMEDATE"", ""value"": ""2021""}, {""start"": 152, ""end"": 167, ""label"": ""LOCATION"", ""value"": ""Research Center""}, {""start"": 171, ""end"": 178, ""label"": ""LOCATION"", ""value"": ""Seattle""}, {""start"": 207, ""end"": 212, ""label"": ""AMOUNT"", ""value"": ""50000""}, {""start"": 230, ""end"": 243, ""label"": ""LOCATION"", ""value"": ""North America""}, {""start"": 250, ""end"": 264, ""label"": ""JOB"", ""value"": ""analytics team""}, {""start"": 278, ""end"": 293, ""label"": ""PERSON"", ""value"": ""Amanda Martinez""}, {""start"": 305, ""end"": 315, ""label"": ""AMOUNT"", ""value"": ""87 percent""}, {""start"": 339, ""end"": 341, ""label"": ""TIMEDATE"", ""value"": ""Q4""}]"
